,game_id,x_location,y_location,outcome,xg,player,x_end_location,y_end_location,z_end_location,minute,team
868,7532,88.0,36.0,Off T,0.019103376,Thomas Delaney,101.0,38.0,3.8,26,Denmark
869,7532,108.0,51.0,Blocked,0.103540614,Jefferson Agustín Farfán Guadalupe,111.0,50.0,,28,Peru
870,7532,100.0,52.0,Blocked,0.08701279,Christian Dannemann Eriksen,109.0,46.0,,38,Denmark
871,7532,94.0,43.0,Saved,0.016224092,Lasse Schöne,119.0,41.5,1.4,38,Denmark
872,7532,102.0,24.0,Off T,0.028146343,Thomas Delaney,120.0,47.3,0.1,40,Denmark
873,7532,108.0,40.0,Off T,0.76,Christian Alberto Cueva Bravo,120.0,40.1,4.1,45,Peru
874,7532,115.0,45.0,Off T,0.091306984,Yussuf Yurary Poulsen,120.0,32.9,0.2,46,Denmark
875,7532,110.0,60.0,Blocked,0.015112563,Jefferson Agustín Farfán Guadalupe,111.0,57.0,,49,Peru
876,7532,90.0,36.0,Off T,0.008607886,Jens Stryger Larsen,120.0,42.8,6.3,50,Denmark
877,7532,103.0,59.0,Off T,0.011762356,Christian Dannemann Eriksen,120.0,45.6,0.5,52,Denmark
878,7532,114.0,50.0,Off T,0.1934625,Édison Michael Flores Peralta,120.0,45.8,0.2,56,Peru
879,7532,108.0,28.0,Goal,0.2005442,Yussuf Yurary Poulsen,120.0,37.0,0.5,58,Denmark
880,7532,108.0,29.0,Saved,0.12927915,Édison Michael Flores Peralta,120.0,40.7,1.0,60,Peru
881,7532,113.0,41.0,Saved,0.12837866,José Paolo Guerrero González,120.0,41.5,0.9,63,Peru
882,7532,113.0,50.0,Off T,0.03474779,Alberto Junior Rodríguez Valdelomar,120.0,35.2,0.4,68,Peru
883,7532,109.0,59.0,Saved,0.0214674,Luis Jan Piers Advíncula Castrillón,118.0,43.6,1.6,72,Peru
884,7532,112.0,40.0,Off T,0.089640394,José Paolo Guerrero González,120.0,44.8,0.2,78,Peru
885,7532,104.0,49.0,Blocked,0.1351464,Nicolai Jørgensen,112.0,42.0,,81,Denmark
886,7532,108.0,43.0,Saved,0.18401816,Jefferson Agustín Farfán Guadalupe,119.0,42.2,0.6,83,Peru
887,7532,105.0,32.0,Saved,0.28883302,Christian Dannemann Eriksen,110.0,42.6,1.3,85,Denmark
888,7532,112.0,41.0,Wayward,0.08511509,José Paolo Guerrero González,111.0,48.0,,94,Peru
889,7544,101.0,30.0,Blocked,0.056073762,Luis Alberto Suárez Díaz,106.0,32.0,,1,Uruguay
890,7544,93.0,31.0,Blocked,0.059942707,Mohammed Al Burayk,102.0,31.0,,7,Saudi Arabia
891,7544,110.0,34.0,Off T,0.09240133,Edinson Roberto Cavani Gómez,120.0,35.0,3.0,12,Uruguay
892,7544,119.0,53.0,Off T,0.033094108,Luis Alberto Suárez Díaz,120.0,44.8,1.6,14,Uruguay
893,7544,111.0,57.0,Off T,0.023366477,Fahad Mosaed Al Muwallad Al Harbi,120.0,45.2,2.4,20,Saudi Arabia
894,7544,114.0,43.0,Goal,0.34651524,Luis Alberto Suárez Díaz,120.0,43.6,1.1,22,Uruguay
895,7544,110.0,52.0,Blocked,0.14339069,Edinson Roberto Cavani Gómez,112.0,52.0,,24,Uruguay
896,7544,96.0,58.0,Saved,0.019066188,Hattan Babhir,119.0,42.0,2.3,25,Saudi Arabia
897,7544,112.0,49.0,Off T,0.059631865,Hattan Babhir,120.0,43.8,3.8,28,Saudi Arabia
898,7544,83.0,40.0,Off T,0.01168076,Salem Mohammed Al Dawsari,120.0,34.6,7.6,37,Saudi Arabia
899,7544,87.0,42.0,Saved,0.023609823,Luis Alberto Suárez Díaz,118.0,43.6,1.0,50,Uruguay
900,7544,112.0,47.0,Off T,0.18843523,Carlos Andrés Sánchez Arcosa,120.0,37.8,3.8,61,Uruguay
901,7544,105.0,59.0,Blocked,0.012183662,Luis Alberto Suárez Díaz,107.0,53.0,,63,Uruguay
902,7544,114.0,43.0,Off T,0.110546805,José Martín Cáceres Silva,120.0,44.2,3.8,67,Uruguay
903,7544,112.0,34.0,Blocked,0.07497856,José Martín Cáceres Silva,115.0,37.0,,76,Uruguay
904,7544,92.0,40.0,Blocked,0.018949896,Lucas Torreira Di Pascua,105.0,45.0,,79,Uruguay
905,7544,105.0,45.0,Off T,0.04168759,Edinson Roberto Cavani Gómez,120.0,34.4,2.1,79,Uruguay
906,7544,104.0,41.0,Saved,0.33663368,Edinson Roberto Cavani Gómez,110.0,41.9,0.2,85,Saudi Arabia
907,7544,102.0,40.0,Wayward,0.062890865,Luis Alberto Suárez Díaz,120.0,62.0,,88,Uruguay
908,7544,94.0,21.0,Blocked,0.014587843,Yasir Gharsan Al Shahrani,97.0,22.0,,89,Saudi Arabia
909,7544,111.0,47.0,Saved,0.036899474,Mohammed Kanoo,118.0,43.4,1.6,89,Saudi Arabia
910,7544,98.0,24.0,Blocked,0.03362304,Yasir Gharsan Al Shahrani,106.0,30.0,,90,Saudi Arabia
911,7553,112.0,41.0,Wayward,0.08131194,Edson Omar Álvarez Velázquez,89.0,41.0,,7,Mexico
912,7553,107.0,45.0,Off T,0.022343852,Javier Hernández Balcázar,120.0,34.4,0.1,11,Mexico
913,7553,111.0,49.0,Saved,0.016294168,Carlos Joel Salcedo Hernández,120.0,44.0,2.2,16,Mexico
914,7553,109.0,51.0,Blocked,0.076773115,Heung-Min Son,112.0,46.0,,21,South Korea
915,7553,111.0,49.0,Blocked,0.15338257,Heung-Min Son,112.0,48.0,,21,South Korea
916,7553,98.0,49.0,Blocked,0.036926463,Heung-Min Son,108.0,46.0,,21,South Korea
917,7553,109.0,44.0,Saved,0.03297988,Sung-Yeung Ki,119.0,40.9,2.4,22,South Korea
918,7553,109.0,41.0,Goal,0.76,Carlos Alberto Vela Garrido,120.0,41.5,1.8,25,Mexico
919,7553,105.0,42.0,Saved,0.12131017,Miguel Arturo Layún Prado,119.0,39.1,2.4,27,Mexico
920,7553,87.0,41.0,Off T,0.046977233,Heung-Min Son,120.0,40.3,4.1,30,South Korea
921,7553,118.0,30.0,Saved,0.05557566,Heung-Min Son,118.0,36.6,0.5,38,South Korea
922,7553,108.0,26.0,Off T,0.058653574,Hirving Rodrigo Lozano Bahena,120.0,41.9,4.8,42,Mexico
923,7553,94.0,48.0,Blocked,0.018871136,Seon-Min Moon,98.0,50.0,,44,South Korea
924,7553,99.0,32.0,Blocked,0.04888812,Heung-Min Son,102.0,32.0,,44,South Korea
925,7553,100.0,28.0,Off T,0.047700748,Hirving Rodrigo Lozano Bahena,120.0,40.9,4.7,49,Mexico
926,7553,90.0,46.0,Off T,0.044901174,Javier Hernández Balcázar,120.0,38.3,4.7,51,Mexico
927,7553,110.0,47.0,Blocked,0.109867536,Seon-Min Moon,111.0,49.0,,51,South Korea
928,7553,105.0,68.0,Saved,0.039947994,Jae-Sung Lee,119.0,43.8,0.5,52,South Korea
929,7553,103.0,18.0,Saved,0.015464206,Sung-Yeung Ki,119.0,39.1,1.4,55,South Korea
930,7553,96.0,46.0,Blocked,0.04579644,José Andrés Guardado Hernández,108.0,34.0,,57,Mexico
931,7553,104.0,36.0,Saved,0.088599935,José Andrés Guardado Hernández,118.0,37.2,1.6,57,Mexico
932,7553,100.0,39.0,Blocked,0.28260243,Hirving Rodrigo Lozano Bahena,104.0,40.0,,59,Mexico
933,7553,104.0,38.0,Blocked,0.073453434,Jae-Sung Lee,113.0,39.0,,60,South Korea
934,7553,101.0,58.0,Off T,0.015128958,Carlos Alberto Vela Garrido,120.0,36.6,3.4,61,Mexico
935,7553,111.0,32.0,Goal,0.2427933,Javier Hernández Balcázar,120.0,38.3,0.1,65,Mexico
936,7553,99.0,40.0,Saved,0.034576014,Hee-Chan Hwang,119.0,37.6,0.6,69,South Korea
937,7553,88.0,52.0,Blocked,0.013170066,Sung-Yeung Ki,103.0,45.0,,73,South Korea
938,7553,95.0,49.0,Blocked,0.01985081,Jae-Sung Lee,97.0,48.0,,81,South Korea
939,7553,94.0,40.0,Off T,0.028156519,Heung-Min Son,120.0,42.4,7.0,87,South Korea
940,7553,96.0,47.0,Off T,0.013422709,Héctor Miguel Herrera López,120.0,37.4,7.6,91,Mexico
941,7553,97.0,54.0,Goal,0.02432912,Heung-Min Son,120.0,36.2,1.4,92,South Korea
942,7560,107.0,45.0,Goal,0.5165252,Khalid Boutaïb,120.0,39.9,0.4,13,Spain
943,7560,97.0,27.0,Off T,0.023178833,Andrés Iniesta Luján,120.0,34.0,6.7,17,Spain
944,7560,114.0,38.0,Goal,0.43235505,Francisco Román Alarcón Suárez,120.0,37.4,2.0,18,Spain
945,7560,112.0,45.0,Saved,0.021008661,Gerard Piqué Bernabéu,119.0,43.8,1.6,22,Spain
946,7560,102.0,34.0,Blocked,0.074768975,Andrés Iniesta Luján,106.0,33.0,,23,Spain
947,7560,114.0,34.0,Saved,0.27674928,Khalid Boutaïb,116.0,38.3,1.0,24,Morocco
948,7560,106.0,31.0,Wayward,0.18203473,Diego da Silva Costa,107.0,37.0,,26,Spain
949,7560,112.0,38.0,Off T,0.11132133,Sergio Busquets i Burgos,120.0,38.7,5.6,36,Spain
950,7560,94.0,30.0,Off T,0.026024703,Hakim Ziyech,120.0,42.8,3.5,42,Morocco
951,7560,116.0,37.0,Wayward,0.4616971,Diego da Silva Costa,118.0,51.0,,46,Spain
952,7560,117.0,50.0,Off T,0.046095222,Mbark Boussoufa,120.0,46.7,0.6,46,Morocco
953,7560,99.0,43.0,Wayward,0.04058046,Francisco Román Alarcón Suárez,108.0,37.0,,51,Spain
954,7560,97.0,60.0,Post,0.016238071,Nordin Amrabat,120.0,36.2,2.7,54,Morocco
955,7560,87.0,53.0,Off T,0.015974728,Gerard Piqué Bernabéu,120.0,36.6,7.4,55,Spain
956,7560,110.0,52.0,Wayward,0.058924574,Nabil Dirar,120.0,52.0,,56,Morocco
